"name","image","price","location","review","url"
"Snooze Inn @Dickson Road","https://t-cf.bstatic.com/xdata/images/hotel/square200/184510211.webp?k=d26da92faf63c44926114d3d2f4f707c80f7f44eb0ad5940de210a0a9184e26d&o=&s=1","S$ 129","Little India, Singapore","7.2","https://www.booking.com/hotel/sg/snooze-inn-dickson-road.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=201&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=418424301_127371136_0_0_0&highlighted_blocks=418424301_127371136_0_0_0&matching_block_id=418424301_127371136_0_0_0&sr_pri_blocks=418424301_127371136_0_0_0__12902&from=searchresults#hotelTmpl"
"Victoria Hotel (SG Clean)","https://t-cf.bstatic.com/xdata/images/hotel/square200/312967102.webp?k=4dd7cabe338652493199eea060f7c7110232999c6fe2061a2f7499c04ff20fbd&o=&s=1","S$ 168","Victoria, Singapore","6.8","https://www.booking.com/hotel/sg/victoria.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=202&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=2511402_235905655_0_2_0&highlighted_blocks=2511402_235905655_0_2_0&matching_block_id=2511402_235905655_0_2_0&sr_pri_blocks=2511402_235905655_0_2_0__16799&from=searchresults#hotelTmpl"
"ST Signature Jalan Besar [5 Hours, 5PM-10PM] (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/253284791.webp?k=ffd8bed749c129fc88bdbca7c06235caab6e0261d0c55df101485fa3f71d423d&o=&s=1","S$ 111","Little India, Singapore","7.7","https://www.booking.com/hotel/sg/st-signature-dusk-jalan-besar.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=203&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=642476801_261385185_0_0_0&highlighted_blocks=642476801_261385185_0_0_0&matching_block_id=642476801_261385185_0_0_0&sr_pri_blocks=642476801_261385185_0_0_0__11063&from=searchresults#hotelTmpl"
"ST Signature Jalan Besar [5 Hours, 10AM-3PM] (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/253283090.webp?k=c2a0b6065e1843f61774ae7ef6aad630f5a6ad7c4d0ee4cc56f6b0801580a16b&o=&s=1","S$ 101","Little India, Singapore","6.6","https://www.booking.com/hotel/sg/st-signature-dawn-jalan-besar.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=204&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=642476302_261384723_0_0_0&highlighted_blocks=642476302_261384723_0_0_0&matching_block_id=642476302_261384723_0_0_0&sr_pri_blocks=642476302_261384723_0_0_0__10138&from=searchresults#hotelTmpl"
"SENG WAH HOTEL","https://t-cf.bstatic.com/xdata/images/hotel/square200/288625461.webp?k=96520c64ac493b76a67c8d440838bc42eeca72776f5a9f33d59e7d7dc4fce3ec&o=&s=1","S$ 460","Geylang, Singapore","","https://www.booking.com/hotel/sg/seng-wah-singapore.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=205&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=537881103_270000141_4_0_0&highlighted_blocks=537881103_270000141_4_0_0&matching_block_id=537881103_270000141_4_0_0&sr_pri_blocks=537881103_270000141_4_0_0__46000&from=searchresults#hotelTmpl"
"Arton Boutique Hotel (SG Clean)","https://t-cf.bstatic.com/xdata/images/hotel/square200/267606461.webp?k=d1a6f1a11399befc43a8f78edc3075203aecdd64095e1f3c7d54757e19f62e99&o=&s=1","S$ 189","Lavender, Singapore","7.7","https://www.booking.com/hotel/sg/arton-boutique.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=206&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=77853806_93770467_0_0_0&highlighted_blocks=77853806_93770467_0_0_0&matching_block_id=77853806_93770467_0_0_0&sr_pri_blocks=77853806_93770467_0_0_0__18897&from=searchresults#hotelTmpl"
"Hotel Fuji (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/178110554.webp?k=32058baeb97db4ccc47575f893e89840475e4673a920d7f8df25ddf2ea45879a&o=&s=1","S$ 271","Geylang, Singapore","6.7","https://www.booking.com/hotel/sg/fuji.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=207&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=139007301_278399840_0_0_0&highlighted_blocks=139007301_278399840_0_0_0&matching_block_id=139007301_278399840_0_0_0&sr_pri_blocks=139007301_278399840_0_0_0__27086&from=searchresults#hotelTmpl"
"ZEN Rooms Stevens Road","https://t-cf.bstatic.com/xdata/images/hotel/square200/98642102.webp?k=1eb0ea9269a65adee769b357c7350fedcca2580bdcb6dd5866e789844f814149&o=&s=1","S$ 134","Orchard, Singapore","9.1","https://www.booking.com/hotel/sg/zenrooms-stevens-road.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=208&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=176157601_90775315_0_1_0&highlighted_blocks=176157601_90775315_0_1_0&matching_block_id=176157601_90775315_0_1_0&sr_pri_blocks=176157601_90775315_0_1_0__13414&from=searchresults#hotelTmpl"
"Jayleen Clarke Quay Hotel (SG Clean)","https://t-cf.bstatic.com/xdata/images/hotel/square200/59962478.webp?k=b7b1fb51a3c3a8a70eac0f7f0d7914007351a6599d1b707cf4013f97097dd483&o=&s=1","S$ 104","Boat Quay, Singapore","7.0","https://www.booking.com/hotel/sg/jayleen-clarke-quay.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=209&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=160463202_273903161_0_2_0&highlighted_blocks=160463202_273903161_0_2_0&matching_block_id=160463202_273903161_0_2_0&sr_pri_blocks=160463202_273903161_0_2_0__10433&from=searchresults#hotelTmpl"
"ST Signature Bugis Beach [5 Hours, 4PM-9PM] (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/253280403.webp?k=7d7ce7bda3582a5ec07fcefc45b8ad93e51a3a71f382baecb81190a3c5391d81&o=&s=1","S$ 111","Bugis, Singapore","7.3","https://www.booking.com/hotel/sg/st-signature-dusk-bugis-beach.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=210&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=642475401_261383254_0_0_0&highlighted_blocks=642475401_261383254_0_0_0&matching_block_id=642475401_261383254_0_0_0&sr_pri_blocks=642475401_261383254_0_0_0__11063&from=searchresults#hotelTmpl"
